id	file_line	command	classification	basis	remediation
1	/tmp/batch_a_20260714/scripts/build_image_remote.sh:17	git worktree remove --force "$WORKTREE" 2>/dev/null || true	undetermined	Idempotent pre-cleanup can legitimately find no worktree, but the historical script does not distinguish absent from removal failure.	Replace with an explicit existence check before reuse if this script is canonicalized.
2	/tmp/batch_a_20260714/scripts/build_image_remote.sh:19	trap 'git -C "$REPO" worktree remove --force "$WORKTREE" >/dev/null 2>&1 || true' EXIT	undetermined	Best-effort EXIT cleanup is not a release verdict, but cleanup failure is not recorded.	Record cleanup failure separately if this script is canonicalized.
3	/tmp/batch_a_20260714/scripts/final_state_remote.sh:29	kubectl -n "$NS" logs "$pod" --all-containers --since=30m | grep -E 'Traceback|(^|[^A-Za-z])ERROR([^A-Za-z]|$)|HTTP/[0-9.]+ 5[0-9][0-9]' || true	defect	Strict errors were printed without a count assertion, so ERROR could coexist with exit 0.	Use collect_strict_logs.sh and release_acceptance.py strict-logs for every deployment pod.
4	/tmp/batch_a_20260714/scripts/test2_integrated_verify.sh:269	grep -E 'Traceback|(^|[^A-Za-z])ERROR([^A-Za-z]|$)|" 5[0-9]{2} |status(code)?[=: ]+5[0-9]{2}([^0-9]|$)' "$logs" || true	observational	This line only prints matches; lines 270-272 independently count the same pattern and assert count equals zero.	No tracked copy retained; the canonical collector has no fail-open pipeline.
5	/tmp/batch_a_20260714/scripts/test2_integrated_verify.sh:270	count=$(grep -Ec 'Traceback|(^|[^A-Za-z])ERROR([^A-Za-z]|$)|" 5[0-9]{2} |status(code)?[=: ]+5[0-9]{2}([^0-9]|$)' "$logs" || true)	observational	The normalized no-match result is assigned and line 272 asserts count equals zero.	No tracked copy retained; release_acceptance.py performs counting without grep exit ambiguity.
6	/tmp/batch_a_20260714/scripts/test2_movement_audit.sh:6	kubectl -n "$NS" rollout status deploy/"$DEP" --timeout=5s || true	undetermined	The script is an observation snapshot, but it never records whether timeout means expected movement or failed rollout.	Define an explicit observation-only contract before canonicalizing.
7	/tmp/f062_epoch_20260714_025149/scripts/build_image_remote.sh:17	git worktree remove --force "$WORKTREE" 2>/dev/null || true	undetermined	Idempotent pre-cleanup can legitimately find no worktree, but removal failures are also swallowed.	Replace with an explicit existence check before reuse if canonicalized.
8	/tmp/f062_epoch_20260714_025149/scripts/build_image_remote.sh:19	trap 'git -C "$REPO" worktree remove --force "$WORKTREE" >/dev/null 2>&1 || true' EXIT	undetermined	Best-effort EXIT cleanup is not a release verdict, but cleanup failure is not recorded.	Record cleanup failure separately if canonicalized.
9	/tmp/f062_epoch_20260714_025149/scripts/cluster_capacity.sh:6	kubectl -n llmops logs job/f062-malb-build-0714 --tail=20 || true	undetermined	Tail output is not followed by an assertion and the script does not declare whether a missing job is acceptable.	Add an explicit optional-resource policy before reuse.
10	/tmp/f062_epoch_20260714_025149/scripts/deploy_prod.sh:13	kubectl -n "$NS" get hpa -o wide | grep "$DEP" || true	observational	Human-readable pre-state only; line 17 captures the full HPA spec hash and line 26 asserts it is unchanged.	No tracked copy retained; the actual HPA invariant is the hash assertion.
